tipo,tema,enunciado,alternativa1,alternativa2,alternativa3,alternativa4,resposta,pontos
MULTIPLA,Portugues,Qual é o sinônimo de "enigma"?,Resposta,Mistério,Certeza,Clareza,2,10
MULTIPLA,Portugues,Em qual gênero literário se enquadra uma crônica?,Prosa,Poesia,Teatro,Épico,1,10
MULTIPLA,Portugues,O que é aliteração?,Repetição de vogais,Repetição de consoantes,Inversão de palavras,Omissão de palavras,2,15
MULTIPLA,Portugues,Qual é o antônimo de "generoso"?,Bondoso,Justo,Mesquinho,Amável,3,10
MULTIPLA,Portugues,O que é o vocativo?,Elemento que chama o interlocutor,Sujeito oculto,Predicativo do sujeito,Objeto direto,1,10
MULTIPLA,Portugues,Qual das frases está na voz passiva?,O cachorro mordeu o homem,O homem foi mordido pelo cachorro,O homem correu,O cachorro latiu,2,10
MULTIPLA,Portugues,O que é um morfema?,Unidade mínima de som,Unidade mínima de significado,Tipo de frase,Classe de palavras,2,15
MULTIPLA,Portugues,Qual é o sinônimo de "lacônico"?,Verboso,Extenso,Breve,Claro,3,10
MULTIPLA,Portugues,O que é um arcaísmo?,Palavra nova,Palavra antiga em desuso,Estrangeirismo,Gíria moderna,2,15
MULTIPLA,Portugues,Qual figura de linguagem atribui qualidades humanas a animais ou coisas?,Comparação,Metáfora,Personificação,Hipérbole,3,10
MULTIPLA,Portugues,O que é um neologismo?,Palavra emprestada,Palavra nova criada recentemente,Palavra arcaica,Palavra técnica,2,10
MULTIPLA,Portugues,Qual é a função do objeto direto?,Complementar verbo transitivo direto sem preposição,Indicar circunstância,Modificar substantivo,Ligar orações,1,10
MULTIPLA,Portugues,Qual período literário é caracterizado pelo Romantismo no Brasil?,Séc XV,Séc XVII,Séc XIX,Séc XX,3,15
MULTIPLA,Portugues,Qual é o antônimo de "corajoso"?,Bravo,Covarde,Forte,Audaz,2,10
MULTIPLA,Portugues,O que é um eufemismo?,Exagero,Expressão mais suave para algo desagradável,Repetição de sons,Comparação,2,10
MULTIPLA,Portugues,Qual é o sinônimo de "perspicaz"?,Lerdo,Astuto,Ingênuo,Distraído,2,10
MULTIPLA,Portugues,O que é zeugma?,Elipse de um verbo já mencionado,Exagero na expressão,Repetição de palavras,Inversão da oração,1,15
MULTIPLA,Portugues,Qual verbo é irregular?,Cantar,Sorrir,Pular,Comer,2,10
MULTIPLA,Portugues,Qual é o plural de "alemão"?,alemans,alemães,alemanes,alemoes,2,10
MULTIPLA,Portugues,O que é a função fática da linguagem?,Transmitir informação,Expressar emoção,Manter o canal de comunicação,Persuadir o receptor,3,10
MULTIPLA,Portugues,Qual é o antônimo de "otimista"?,Alegre,Pessimista,Feliz,Animado,2,10
MULTIPLA,Portugues,Qual das opções é um adjetivo?,Correr,Lentamente,Rápido,Carro,3,10
MULTIPLA,Portugues,O que é o predicativo do sujeito?,Palavra que modifica o sujeito ligada por verbo de ligação,Complemento do verbo transitivo,Adjunto do sujeito,Objeto do predicado,1,15
VERDADEIRO_FALSO,Portugues,A crase é obrigatória antes de verbos.,,,,,Falso,10
VERDADEIRO_FALSO,Portugues,O plural de "mão" é "mãos".,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,A palavra "saudade" não tem equivalente em muitas línguas.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,Advérbios podem modificar adjetivos.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,O sujeito sempre vem antes do verbo em português.,,,,,Falso,10
VERDADEIRO_FALSO,Portugues,Machado de Assis escreveu Dom Casmurro.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Portugues,A vírgula pode separar sujeito do predicado diretamente.,,,,,Falso,10
VERDADEIRO_FALSO,Portugues,A hipérbole é uma figura de linguagem.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,Todo substantivo tem gênero e número.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,O Modernismo no Brasil começou em 1922.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Portugues,A aliteração é a repetição de sons vocálicos.,,,,,Falso,10
VERDADEIRO_FALSO,Portugues,O ponto final indica fim de frase declarativa.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,Um adjetivo pode ser usado como substantivo.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,O verbo "ser" é regular na conjugação.,,,,,Falso,10
VERDADEIRO_FALSO,Portugues,O gênero dramático inclui textos para teatro.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,A voz passiva analítica usa o verbo ser mais particípio.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,A palavra "não" é sempre um advérbio de negação.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Portugues,Um oxímoro combina termos de sentido oposto.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Portugues,O Barroco no Brasil ocorreu antes do Classicismo.,,,,,Falso,10
VERDADEIRO_FALSO,Portugues,Todo verbo tem sujeito explícito.,,,,,Falso,10
COMPLETAR,Portugues,Complete: O autor de Dom Casmurro é Machado de _____.,,,,,Assis,20
COMPLETAR,Portugues,Complete: A capital do Brasil é _____.,,,,,Brasília,20
COMPLETAR,Portugues,Complete: O antônimo de "bom" é _____.,,,,,mau,20
COMPLETAR,Portugues,Complete: A figura de linguagem que usa exagero se chama _____.,,,,,hipérbole,20
COMPLETAR,Portugues,Complete: O plural de "chapéu" é _____.,,,,,chapéus,20
COMPLETAR,Portugues,Complete: Uma frase sem sujeito tem sujeito _____.,,,,,indeterminado,20
COMPLETAR,Portugues,Complete: O gênero literário que inclui poemas é _____.,,,,,lírico,20
COMPLETAR,Portugues,Complete: Atribuir sentimentos humanos a objetos é _____.,,,,,personificação,20
COMPLETAR,Portugues,Complete: O Modernismo brasileiro começou na Semana de Arte de _____.,,,,,1922,20
COMPLETAR,Portugues,Complete: A repetição de consoantes em sequência é chamada _____.,,,,,aliteração,20
MULTIPLA,Matematica,Quantos lados tem um hexágono?,5,6,7,8,2,10
MULTIPLA,Matematica,Qual é o resultado de 2 elevado à décima potência?,512,1024,2048,256,2,15
MULTIPLA,Matematica,Qual é o valor de Pi arredondado até duas casas decimais?,3.12,3.14,3.16,3.18,2,10
MULTIPLA,Matematica,Qual é a raiz quadrada de 144?,11,12,13,14,2,10
MULTIPLA,Matematica,O número zero é par ou ímpar?,Ímpar,Par,Nenhum dos dois,Depende do contexto,2,10
MULTIPLA,Matematica,Qual é a soma dos ângulos internos de um triângulo?,90,180,270,360,2,10
MULTIPLA,Matematica,Qual é o resultado de 15% de 200?,20,25,30,35,3,10
MULTIPLA,Matematica,Quantos graus tem um ângulo reto?,45,60,90,180,3,10
MULTIPLA,Matematica,Qual é o MMC de 4 e 6?,12,8,24,6,1,10
MULTIPLA,Matematica,Qual é a fórmula da área do círculo?,2 pi r,pi r ao quadrado,2 pi r ao quadrado,pi d,2,15
MULTIPLA,Matematica,Qual é o resultado de 7 x 8?,54,56,48,63,2,10
MULTIPLA,Matematica,Se x + 5 = 12 então x vale?,5,6,7,8,3,10
MULTIPLA,Matematica,Qual número é primo?,4,6,9,7,4,10
MULTIPLA,Matematica,Qual é o dobro de 37?,64,74,72,76,2,10
MULTIPLA,Matematica,Quantas faces tem um cubo?,4,6,8,12,2,10
MULTIPLA,Matematica,Qual é o resultado de 100 dividido por 4?,20,25,30,40,2,10
MULTIPLA,Matematica,Qual figura geométrica tem três lados?,Quadrado,Pentágono,Triângulo,Hexágono,3,10
MULTIPLA,Matematica,Qual é a fórmula do volume do cubo?,lado ao cubo,lado ao quadrado,2 x lado,3 x lado,1,15
MULTIPLA,Matematica,Qual é o valor absoluto de -15?,15,0,-15,150,1,10
MULTIPLA,Matematica,Qual é a fração equivalente a 50%?,1/4,1/2,3/4,2/3,2,10
MULTIPLA,Matematica,Se um retângulo tem lados 5 e 8 qual é sua área?,13,40,26,45,2,10
MULTIPLA,Matematica,Qual é o resultado de 3 ao cubo?,6,9,18,27,4,10
MULTIPLA,Matematica,Quantos zeros tem um bilhão?,6,8,9,12,3,10
MULTIPLA,Matematica,Qual número é múltiplo de 7?,42,45,46,47,1,10
MULTIPLA,Matematica,Qual é a regra do sinal de multiplicação de negativos?,Negativo x Negativo = Negativo,Negativo x Positivo = Positivo,Negativo x Negativo = Positivo,Positivo x Negativo = Positivo,3,10
MULTIPLA,Matematica,Qual é o número de Euler arredondado a duas casas?,2.17,2.71,2.81,3.14,2,15
MULTIPLA,Matematica,Qual é o ângulo de cada canto de um quadrado?,60,90,120,180,2,10
MULTIPLA,Matematica,Quantos milímetros tem um centímetro?,10,100,1000,5,1,10
MULTIPLA,Matematica,Qual é o MDC de 12 e 18?,3,6,9,12,2,15
MULTIPLA,Matematica,Qual é o resultado de raiz de 81?,7,8,9,11,3,10
MULTIPLA,Matematica,Se um triângulo tem ângulos 60 60 e X qual é X?,40,60,80,100,2,10
MULTIPLA,Matematica,Qual é a média aritmética de 10 20 e 30?,15,20,25,30,2,10
MULTIPLA,Matematica,Qual é o número oposto de 7 na reta numérica?,-7,0,7,17,1,10
MULTIPLA,Matematica,Quantas arestas tem um cubo?,6,8,10,12,4,15
MULTIPLA,Matematica,Qual é o resultado de 2 mais 2 vezes 2?,6,8,4,10,1,10
MULTIPLA,Matematica,Qual é a fórmula da área do retângulo?,base mais altura,base x altura,2 x base mais altura,base ao quadrado,2,10
MULTIPLA,Matematica,Qual é o menor número primo?,0,1,2,3,3,10
MULTIPLA,Matematica,Qual operação desfaz a potenciação?,Logaritmo,Radicação,Fatoração,Divisão,2,15
MULTIPLA,Matematica,Quantos cm tem um metro?,10,100,1000,10000,2,10
MULTIPLA,Matematica,Qual é o resultado de 9 elevado a zero?,0,1,9,81,2,10
MULTIPLA,Matematica,Qual é a soma dos ângulos internos de um quadrilátero?,180,270,360,450,3,10
MULTIPLA,Matematica,Se 30% de X é 60 então X vale?,120,180,200,240,3,15
MULTIPLA,Matematica,Qual é o fatorial de 5?,60,100,120,150,3,10
MULTIPLA,Matematica,Qual é o perímetro de um quadrado de lado 7?,14,21,28,49,3,10
MULTIPLA,Matematica,Qual é a tangente de 45 graus?,0,0.5,1,2,3,15
MULTIPLA,Matematica,Qual é o conjunto dos números inteiros representado por?,N,Z,Q,R,2,10
MULTIPLA,Matematica,Qual é o resultado de 1000 menos 337?,663,673,647,763,1,10
MULTIPLA,Matematica,Qual é o dobro da metade de 40?,20,40,10,80,2,10
MULTIPLA,Matematica,Em uma PA com primeiro termo 2 e razão 3 qual é o quarto termo?,9,11,13,14,2,15
MULTIPLA,Matematica,Qual é o valor de seno de 90 graus?,0,1,raiz de 2 sobre 2,indefinido,2,15
MULTIPLA,Matematica,Quantos graus tem uma volta completa?,90,180,270,360,4,10
MULTIPLA,Matematica,Qual é o resultado de 12 ao quadrado?,124,132,144,164,3,10
MULTIPLA,Matematica,Qual é o número de faces de um tetraedro?,3,4,5,6,2,15
MULTIPLA,Matematica,Qual é a razão de uma PA 2 5 8 11?,2,3,4,5,2,10
MULTIPLA,Matematica,Quantas diagonais tem um pentágono?,4,5,6,7,2,15
MULTIPLA,Matematica,Qual é o resultado de log na base 10 de 1000?,2,3,4,5,2,15
MULTIPLA,Matematica,Qual é o produto de 25 x 4?,80,100,125,50,2,10
MULTIPLA,Matematica,Qual é a hipotenusa de um triângulo retângulo com catetos 3 e 4?,5,6,7,8,1,15
MULTIPLA,Matematica,Qual é o resultado de 5 fatorial mais 3 fatorial?,126,186,126 mais 6,120 mais 6,4,15
MULTIPLA,Matematica,Qual é o conjunto dos números racionais representado por?,N,Z,Q,R,3,10
MULTIPLA,Matematica,Qual é o volume de um cubo de lado 3?,9,18,27,81,3,10
MULTIPLA,Matematica,Se a soma de dois números é 20 e um deles é 7 qual é o outro?,11,13,14,15,2,10
MULTIPLA,Matematica,Qual é o resultado de 144 dividido por 12?,10,11,12,13,3,10
MULTIPLA,Matematica,Quantos números primos há entre 1 e 10?,3,4,5,6,2,15
MULTIPLA,Matematica,Qual é a fórmula da área do triângulo?,base x altura,base x altura dividido por 2,2 x base x altura,base mais altura dividido por 2,2,10
MULTIPLA,Matematica,Qual é o resultado de 2 elevado a 8?,128,256,512,1024,2,15
MULTIPLA,Matematica,Qual é o número neutro da adição?,0,1,2,-1,1,10
MULTIPLA,Matematica,Qual é o número neutro da multiplicação?,0,1,2,-1,2,10
VERDADEIRO_FALSO,Matematica,O número zero é considerado par.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,A soma dos ângulos internos de um triângulo é 180 graus.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,Todo número primo é ímpar.,,,,,Falso,10
VERDADEIRO_FALSO,Matematica,A raiz quadrada de 2 é um número irracional.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Matematica,O fatorial de 0 é igual a 1.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Matematica,Um triângulo equilátero tem todos os lados iguais.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,O número pi é exatamente 3.14.,,,,,Falso,10
VERDADEIRO_FALSO,Matematica,A hipotenusa é o maior lado do triângulo retângulo.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,Todo quadrado é um retângulo.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,A soma dos ângulos internos de um quadrilátero é 360 graus.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,Um número negativo elevado a potência par resulta positivo.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,O logaritmo de 1 em qualquer base é igual a zero.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Matematica,O conjunto dos números naturais inclui números negativos.,,,,,Falso,10
VERDADEIRO_FALSO,Matematica,A tangente de 0 graus é igual a 1.,,,,,Falso,10
VERDADEIRO_FALSO,Matematica,Em uma progressão geométrica a razão é obtida por adição.,,,,,Falso,10
VERDADEIRO_FALSO,Matematica,O produto de dois números primos é sempre primo.,,,,,Falso,10
VERDADEIRO_FALSO,Matematica,O perímetro de um círculo é chamado circunferência.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Matematica,Dois ângulos suplementares somam 90 graus.,,,,,Falso,10
VERDADEIRO_FALSO,Matematica,A área de um triângulo equilátero de lado 2 é raiz de 3.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Matematica,Qualquer número real elevado a zero é igual a 1.,,,,,Verdadeiro,10
COMPLETAR,Matematica,Complete: O número de Euler arredondado é aproximadamente _____.,,,,,2.71,20
COMPLETAR,Matematica,Complete: O maior ângulo de um triângulo retângulo mede _____ graus.,,,,,90,20
COMPLETAR,Matematica,Complete: O fatorial de 4 é _____.,,,,,24,20
COMPLETAR,Matematica,Complete: A soma dos ângulos internos de um pentágono é _____ graus.,,,,,540,20
COMPLETAR,Matematica,Complete: O conjunto dos números naturais é representado pela letra _____.,,,,,N,20
COMPLETAR,Matematica,Complete: O produto de qualquer número por zero é _____.,,,,,zero,20
COMPLETAR,Matematica,Complete: A raiz quadrada de 225 é _____.,,,,,15,20
COMPLETAR,Matematica,Complete: Um número divisível por 2 é chamado _____.,,,,,par,20
COMPLETAR,Matematica,Complete: O teorema de Pitágoras diz que a ao quadrado mais b ao quadrado é igual a _____ ao quadrado.,,,,,c,20
COMPLETAR,Matematica,Complete: O perímetro de um quadrado com lado 5 é _____.,,,,,20,20
MULTIPLA,Ciencias,Qual é a fórmula química da água?,H2O,CO2,O2,NaCl,1,10
MULTIPLA,Ciencias,Qual é o maior planeta do sistema solar?,Saturno,Netuno,Júpiter,Marte,3,10
MULTIPLA,Ciencias,Quantos ossos tem o corpo humano adulto?,206,186,256,196,1,15
MULTIPLA,Ciencias,Qual gás as plantas absorvem durante a fotossíntese?,Oxigênio,Nitrogênio,Dióxido de Carbono,Hidrogênio,3,10
MULTIPLA,Ciencias,O DNA humano e o de um chimpanzé são aproximadamente quantos porcento idênticos?,90,95,98,99,3,15
MULTIPLA,Ciencias,Qual é o elemento químico de símbolo Fe?,Fósforo,Flúor,Ferro,Férmio,3,10
MULTIPLA,Ciencias,Qual é a unidade básica da vida?,Átomo,Molécula,Célula,Organismo,3,10
MULTIPLA,Ciencias,Qual planeta é conhecido como o planeta vermelho?,Vênus,Marte,Júpiter,Saturno,2,10
MULTIPLA,Ciencias,Qual é o gás mais abundante na atmosfera terrestre?,Oxigênio,Nitrogênio,Dióxido de Carbono,Argônio,2,15
MULTIPLA,Ciencias,Quantos cromossomos tem uma célula humana normal?,23,44,46,48,3,15
MULTIPLA,Ciencias,Qual é o órgão responsável pelo bombeamento de sangue?,Pulmão,Fígado,Rim,Coração,4,10
MULTIPLA,Ciencias,Qual é o nome do processo pelo qual a água muda de líquido para gás?,Condensação,Evaporação,Solidificação,Fusão,2,10
MULTIPLA,Ciencias,Qual é o símbolo químico do ouro?,Au,Ag,Fe,Cu,1,10
MULTIPLA,Ciencias,Quantas camadas tem a atmosfera terrestre?,3,4,5,6,3,15
MULTIPLA,Ciencias,Qual é o nome do processo de divisão celular que gera células sexuais?,Mitose,Meiose,Biogênese,Clonagem,2,15
MULTIPLA,Ciencias,Qual é a velocidade da luz em km por segundo?,300 mil,150 mil,600 mil,30 mil,1,15
MULTIPLA,Ciencias,Qual é o elemento químico mais abundante no universo?,Oxigênio,Carbono,Nitrogênio,Hidrogênio,4,15
MULTIPLA,Ciencias,O que é a teoria celular?,Teoria sobre a origem do universo,Teoria que diz que todos os seres vivos são formados por células,Teoria da divisão do átomo,Teoria da evolução,2,10
MULTIPLA,Ciencias,Qual é o nome da camada mais interna da Terra?,Crosta,Manto,Núcleo interno,Núcleo externo,3,15
MULTIPLA,Ciencias,Qual é o processo pelo qual as plantas produzem alimento?,Respiração,Digestão,Fotossíntese,Fermentação,3,10
MULTIPLA,Ciencias,Quantas espécies de humanos existem atualmente?,1,2,3,4,1,10
MULTIPLA,Ciencias,Qual é o nome da lei que diz que dois corpos não ocupam o mesmo lugar?,Princípio da Impenetrabilidade,Segunda lei de Newton,Lei de Avogadro,Princípio da Inércia,1,15
MULTIPLA,Ciencias,Qual órgão filtra o sangue no corpo humano?,Coração,Fígado,Rim,Pulmão,3,10
MULTIPLA,Ciencias,Qual é o nome do fenômeno de curvatura da luz ao mudar de meio?,Reflexão,Refração,Difração,Absorção,2,15
MULTIPLA,Ciencias,Qual é o gás produzido pela fotossíntese?,CO2,N2,O2,H2,3,10
MULTIPLA,Ciencias,Qual é a fórmula química do sal de cozinha?,NaCl,KCl,H2SO4,NaOH,1,10
MULTIPLA,Ciencias,O que é um ecossistema?,Conjunto de animais de uma região,Conjunto de seres vivos e o ambiente físico,Grupo de plantas de uma floresta,Apenas os animais de um bioma,2,10
MULTIPLA,Ciencias,Qual é o nome do conjunto de genes de um organismo?,Fenoma,Proteoma,Genoma,Cromossoma,3,15
MULTIPLA,Ciencias,Qual é a unidade de medida da corrente elétrica?,Volt,Ohm,Ampere,Watt,3,10
MULTIPLA,Ciencias,Qual é o nome do ácido presente no estômago?,Ácido sulfúrico,Ácido clorídrico,Ácido cítrico,Ácido lático,2,15
MULTIPLA,Ciencias,Quantas vértebras tem a coluna vertebral humana?,26,33,40,46,2,15
MULTIPLA,Ciencias,Qual é o planeta mais próximo do Sol?,Vênus,Terra,Mercúrio,Marte,3,10
MULTIPLA,Ciencias,O que é a seleção natural?,Escolha humana de espécies,Sobrevivência dos mais adaptados ao ambiente,Mutação genética forçada,Processo de extinção,2,15
MULTIPLA,Ciencias,Qual é a estrutura responsável pelo controle da célula?,Ribossomo,Mitocôndria,Núcleo,Membrana,3,10
MULTIPLA,Ciencias,Qual é o nome do processo de passagem do estado gasoso para líquido?,Evaporação,Sublimação,Condensação,Fusão,3,10
MULTIPLA,Ciencias,Qual é o nome do fenômeno em que a Lua bloqueia o Sol?,Eclipse lunar,Eclipse solar,Solstício,Equinócio,2,10
MULTIPLA,Ciencias,Qual é o nome do órgão responsável pela produção de insulina?,Pâncreas,Fígado,Rim,Estômago,1,15
MULTIPLA,Ciencias,O que é um átomo?,Menor parte divisível de um elemento químico,Composto químico,Molécula complexa,Célula microscópica,1,10
MULTIPLA,Ciencias,Qual é o número atômico do Carbono?,4,6,8,12,2,10
MULTIPLA,Ciencias,Qual é o nome da ciência que estuda os fósseis?,Geologia,Paleontologia,Arqueologia,Biologia,2,15
MULTIPLA,Ciencias,Qual é o nome do processo de transformação de energia química em energia celular?,Fotossíntese,Respiração Celular,Fermentação,Transpiração,2,15
MULTIPLA,Ciencias,Qual é o nome da estrela mais próxima do sistema solar?,Betelgeuse,Sírius,Proxima Centauri,Vega,3,15
MULTIPLA,Ciencias,Quantos litros de sangue tem um adulto em média?,3,5,8,10,2,10
MULTIPLA,Ciencias,Qual é o nome do campo magnético da Terra?,Aura borealis,Magnetosfera,Ionosfera,Campo de Faraday,2,15
MULTIPLA,Ciencias,Qual é o nome do processo de reprodução sem parceiro?,Reprodução sexuada,Reprodução assexuada,Partenogênese,Clonagem artificial,2,10
MULTIPLA,Ciencias,Qual é o nome do gás responsável pelo efeito estufa principalmente?,Nitrogênio,Oxigênio,Dióxido de Carbono,Argônio,3,10
MULTIPLA,Ciencias,Qual é o tecido que recobre o corpo externamente?,Nervoso,Muscular,Epitelial,Conjuntivo,3,10
MULTIPLA,Ciencias,Qual é o nome do fenômeno de divisão de luz branca em cores?,Reflex,Difusão,Dispersão,Polarização,3,15
MULTIPLA,Ciencias,Qual é o nome da camada de ozônio que protege a Terra?,Biosfera,Hidrosfera,Estratosfera,Litosfera,3,15
MULTIPLA,Ciencias,O que é um catalisador?,Substância que retarda reações,Substância que aumenta a velocidade de uma reação sem ser consumida,Substância ácida,Elemento radioativo,2,15
